Entités administratives,Nombre d'habitants,Revenu total net imposable,Revenu moyen par déclaration,Revenu médian par déclaration,Revenu moyen par habitant,Indice de richesse,Impôt d'Etat,Taxes communales et d'agglomération,Impôt total,Code INS
Thimister-Clermont,5.652,132.069.894,40.876,31.328,23.367,107,29.842.450,2.233.095,32.075.544,63089
Arrondissement de Waremme,83.829,1.972.605.918,39.468,29.661,23.531,108,446.692.308,36.776.653,483.468.960,64000
Berloz,3.336,77.699.674,41.774,32.630,23.291,107,18.039.010,1.522.967,19.561.977,64008
Braives,6.484,150.946.598,40.577,31.502,23.280,107,34.900.690,2.774.427,37.675.118,64015
Crisnée,3.540,86.587.570,40.124,30.648,24.460,112,20.417.519,1.619.484,22.037.003,64021
Donceel,3.144,81.993.034,43.613,32.710,26.079,120,19.633.546,1.714.927,21.348.474,64023
Fexhe-le-Haut-Clocher,3.429,81.149.531,40.676,32.207,23.666,109,18.674.593,1.626.002,20.300.595,64025
Geer,3.559,87.118.950,43.150,31.928,24.478,112,21.294.377,1.635.913,22.930.290,64029
Hannut,17.026,411.603.895,40.504,29.642,24.175,111,94.354.855,7.985.568,102.340.423,64034
Lincent,3.351,77.376.369,39.377,30.032,23.091,106,17.266.214,1.374.167,18.640.381,64047
Oreye,4.025,92.379.756,38.524,29.443,22.951,105,20.576.332,1.410.546,21.986.878,64056
Remicourt,6.062,148.491.968,40.794,30.571,24.496,113,34.929.552,2.766.764,37.696.316,64063
Saint-Georges-sur-Meuse,7.195,152.853.429,35.212,27.859,21.244,98,30.694.104,2.453.243,33.147.347,64065
Waremme,15.455,351.305.069,36.461,27.485,22.731,104,75.148.109,6.381.031,81.529.140,64074
Wasseiges,3.144,70.595.875,38.409,28.265,22.454,103,15.520.440,1.310.973,16.831.413,64075
Faimes,4.079,102.504.201,43.269,31.740,25.130,115,25.242.966,2.200.640,27.443.606,64076
Province de Limbourg,895.030,19.688.588.545,37.341,29.833,21.998,101,3.949.698.872,305.438.439,4.255.137.311,70000
Arrondissement de Hasselt,428.612,9.636.714.356,37.927,29.909,22.484,103,2.048.111.726,153.677.625,2.201.789.351,71000
As,8.214,191.183.067,39.193,31.026,23.275,107,39.457.142,3.053.087,42.510.228,71002
Beringen,47.895,993.868.062,37.141,30.584,20.751,95,200.600.827,15.232.409,215.833.236,71004
Diepenbeek,19.423,458.608.808,39.689,31.278,23.612,108,100.701.182,8.103.317,108.804.498,71011
Genk,67.573,1.346.607.422,33.963,27.345,19.928,92,253.288.714,19.429.044,272.717.758,71016
Gingelom,8.670,205.844.725,40.867,31.660,23.742,109,46.392.012,3.686.205,50.078.218,71017
Halen,9.557,230.697.798,40.452,30.553,24.139,111,51.425.990,4.112.291,55.538.281,71020
Hasselt,80.351,1.974.003.204,39.652,30.209,24.567,113,454.490.278,31.985.695,486.475.973,71022
Herck-la-Ville,12.817,310.079.975,40.811,31.144,24.193,111,70.515.459,4.918.338,75.433.797,71024
Bourg-Léopold,16.407,342.715.491,35.154,29.588,20.888,96,68.201.273,5.476.897,73.678.170,71034
