Entités administratives,Nombre d'habitants,Revenu total net imposable,Revenu moyen par déclaration,Revenu médian par déclaration,Revenu moyen par habitant,Indice de richesse,Impôt d'Etat,Taxes communales et d'agglomération,Impôt total,Code INS
Belgique,11.697.557,254.676.934.997,37.594,28.145,21.772,100,55.067.368.599,4.016.904.513,59.084.273.113,01000
Région flamande,6.774.807,157.664.364.660,39.735,30.106,23.272,107,35.449.028.578,2.526.371.455,37.975.400.033,02000
Région wallonne,3.681.575,75.745.979.320,35.185,26.496,20.574,94,15.002.559.478,1.207.062.120,16.209.621.598,03000
Communauté germanophone,79.383,1.677.506.156,37.385,28.568,21.132,97,227.309.651,19.575.562,246.885.214,03001
Région de Bruxelles-Capitale,1.241.175,21.266.591.017,32.530,22.790,17.134,79,4.615.780.543,283.470.938,4.899.251.481,04000
Province d’Anvers,1.910.952,43.463.433.801,39.117,29.528,22.744,104,9.722.252.776,693.745.919,10.415.998.694,10000
Arrondissement d’Anvers,1.078.084,23.918.561.279,38.432,28.597,22.186,102,5.373.516.467,379.748.776,5.753.265.243,11000
Aartselaar,14.752,398.803.725,46.475,34.397,27.034,124,99.799.231,4.852.750,104.651.981,11001
Anvers,538.910,10.260.444.241,33.144,25.683,19.039,87,2.135.880.602,172.834.907,2.308.715.509,11002
Boechout,13.806,372.286.073,45.893,32.827,26.966,124,93.868.301,6.464.929,100.333.231,11004
Boom,19.062,385.191.530,35.052,27.780,20.207,93,79.867.977,6.302.519,86.170.497,11005
Borsbeek,11.309,241.895.451,37.667,29.577,21.390,98,51.769.408,3.605.989,55.375.397,11007
Brasschaat,38.575,1.016.646.549,44.845,31.615,26.355,121,244.459.549,14.794.498,259.254.046,11008
Brecht,30.387,758.067.899,43.104,32.681,24.947,115,175.690.946,12.446.494,188.137.439,11009
Edegem,22.761,604.980.112,46.533,34.133,26.580,122,151.142.810,9.876.241,161.019.051,11013
Essen,19.629,437.343.248,40.249,31.495,22.280,102,87.318.198,7.274.484,94.592.682,11016
Hemiksem,12.105,271.558.165,40.071,32.466,22.434,103,62.162.962,4.628.632,66.791.593,11018
Hove,8.444,259.698.488,54.650,35.621,30.755,141,70.010.016,5.245.107,75.255.123,11021
Kalmthout,19.422,497.832.712,44.910,33.168,25.632,118,116.401.085,8.961.580,125.362.666,11022
Kapellen,27.743,776.517.979,48.378,33.995,27.990,129,188.620.506,10.687.414,199.307.920,11023
Kontich,21.624,595.438.627,47.563,33.895,27.536,126,152.721.176,8.655.948,161.377.124,11024
Lint,8.548,238.317.131,49.158,34.512,27.880,128,60.238.810,4.793.355,65.032.165,11025
Mortsel,26.391,645.901.978,41.585,31.214,24.474,112,157.215.284,10.174.622,167.389.906,11029
Niel,10.799,239.800.766,38.765,31.517,22.206,102,52.816.755,4.182.974,56.999.729,11030
Ranst,19.609,510.777.742,44.935,33.354,26.048,120,124.445.445,8.022.410,132.467.856,11035
Rumst,15.417,393.114.835,43.987,33.441,25.499,117,95.177.841,6.158.163,101.336.004,11037
Schelle,8.662,213.967.270,42.336,33.215,24.702,113,50.513.076,3.000.655,53.513.731,11038
Schilde,20.293,610.739.559,52.053,33.742,30.096,138,153.730.208,7.944.029,161.674.237,11039
Schoten,34.360,880.045.125,43.195,31.175,25.612,118,208.763.476,13.644.464,222.407.940,11040
Stabroek,18.837,480.787.256,43.170,33.478,25.524,117,114.404.444,7.411.741,121.816.184,11044
Wijnegem,10.432,249.471.425,40.604,31.301,23.914,110,57.359.850,3.144.287,60.504.136,11050
Wommelgem,13.230,316.981.689,41.392,31.223,23.959,110,72.885.080,3.632.779,76.517.859,11052
Wuustwezel,21.644,500.857.640,39.751,30.687,23.141,106,109.075.786,7.774.211,116.849.997,11053
Zandhoven,13.352,333.859.304,42.709,32.180,25.004,115,76.677.460,5.336.168,82.013.628,11054
Zoersel,22.427,589.568.772,44.885,33.081,26.288,121,142.008.154,9.226.763,151.234.916,11055
Zwijndrecht,19.547,448.554.329,39.573,31.143,22.947,105,100.565.978,2.499.564,103.065.542,11056
Malle,16.007,389.111.660,40.856,30.447,24.309,112,87.926.052,6.171.101,94.097.153,11057
Arrondissement de Malines,356.300,8.589.676.605,41.115,30.932,24.108,111,2.016.408.470,145.434.689,2.161.843.158,12000
Berlaar,11.949,279.551.889,39.462,30.348,23.395,107,62.417.273,4.811.837,67.229.109,12002
Bonheiden,15.458,456.906.940,51.407,34.766,29.558,136,121.807.342,9.082.295,130.889.637,12005
Bornem,21.982,572.812.506,43.169,32.726,26.058,120,138.781.975,10.036.854,148.818.829,12007
Duffel,17.982,447.023.259,41.935,30.866,24.859,114,107.279.803,6.934.992,114.214.795,12009
Heist-op-den-Berg,44.226,1.054.500.715,39.914,30.715,23.843,110,234.325.226,17.421.251,251.746.477,12014
Lierre,37.909,898.009.667,38.751,29.624,23.689,109,205.662.630,16.168.649,221.831.279,12021
Malines,88.614,2.017.346.595,39.500,29.870,22.766,105,477.682.376,32.281.956,509.964.332,12025
Nijlen,23.409,562.781.788,41.284,31.353,24.041,110,127.402.163,8.843.875,136.246.038,12026
Putte,18.631,464.694.801,42.054,31.735,24.942,115,107.890.601,8.019.230,115.909.831,12029
Sint-Katelijne-Waver,21.595,546.290.945,43.830,31.938,25.297,116,132.686.565,9.619.833,142.306.398,12035
Willebroek,27.773,602.736.982,38.600,29.939,21.702,100,133.657.593,9.956.123,143.613.716,12040
Puurs-Sint-Amands,26.772,687.020.518,44.065,33.463,25.662,118,166.814.924,12.257.794,179.072.718,12041
Arrondissement de Turnhout,476.568,10.955.195.917,39.150,30.743,22.988,106,2.332.327.839,168.562.453,2.500.890.292,13000
Arendonk,13.344,287.981.226,37.454,30.737,21.581,99,55.925.894,4.211.338,60.137.231,13001
Baerle-Duc,3.012,59.972.079,36.725,28.241,19.911,91,8.436.768,866.261,9.303.029,13002
Balen,23.308,526.952.131,38.761,31.504,22.608,104,111.194.165,8.936.603,120.130.768,13003
Beerse,18.416,449.587.638,42.116,32.646,24.413,112,101.946.562,7.051.381,108.997.944,13004
Dessel,9.805,214.975.184,37.808,31.168,21.925,101,44.261.722,2.681.090,46.942.813,13006
Geel,41.828,989.237.483,39.612,30.648,23.650,109,223.488.599,15.594.655,239.083.254,13008
Grobbendonk,11.519,285.798.924,41.814,32.268,24.811,114,65.782.841,4.896.774,70.679.615,13010
Herentals,28.575,681.967.712,38.434,29.832,23.866,110,148.048.794,10.588.797,158.637.591,13011
Herenthout,9.417,216.027.109,37.833,30.024,22.940,105,45.658.765,3.404.555,49.063.320,13012
Herselt,14.805,349.595.284,39.285,31.204,23.613,108,75.058.624,5.500.203,80.558.827,13013
Hoogstraten,22.245,484.315.723,38.493,29.849,21.772,100,92.737.800,6.302.955,99.040.755,13014
Hulshout,10.564,249.358.219,39.250,30.927,23.605,108,54.330.442,3.776.994,58.107.435,13016
Kasterlee,19.478,479.491.220,42.072,32.251,24.617,113,109.195.318,7.655.064,116.850.382,13017
Lille,16.871,397.551.893,40.295,31.755,23.564,108,88.646.876,5.753.011,94.399.886,13019
Meerhout,10.348,240.227.657,39.151,31.773,23.215,107,52.005.298,4.137.337,56.142.635,13021
Merksplas,8.799,198.453.382,38.974,30.223,22.554,104,41.996.397,2.766.398,44.762.795,13023
Mol,38.159,885.270.142,39.398,30.381,23.200,107,191.695.622,14.928.961,206.624.583,13025
Olen,12.689,298.437.127,39.850,31.913,23.519,108,65.767.409,3.926.526,69.693.935,13029
Oud-Turnhout,14.734,354.346.396,43.213,32.682,24.050,110,72.208.406,5.404.515,77.612.921,13031
Ravels,15.338,318.351.141,37.195,30.155,20.756,95,52.263.582,3.252.860,55.516.442,13035
Retie,11.841,284.796.754,42.236,31.378,24.052,110,60.630.350,4.478.098,65.108.447,13036
Rijkevorsel,12.531,274.784.424,37.985,30.084,21.928,101,56.589.032,4.203.934,60.792.966,13037
Turnhout,46.923,947.437.967,34.133,27.404,20.191,93,186.735.790,14.437.853,201.173.643,13040
Vorselaar,8.044,188.841.297,39.941,31.566,23.476,108,41.393.792,3.081.517,44.475.309,13044
Vosselaar,11.802,293.885.715,44.100,33.726,24.901,114,68.351.333,5.181.538,73.532.870,13046
Westerlo,25.466,606.009.129,39.958,31.617,23.797,109,134.239.225,9.320.711,143.559.935,13049
Laakdal,16.707,391.542.958,39.347,31.971,23.436,108,83.738.435,6.222.526,89.960.961,13053
Province du Brabant flamand,1.187.483,29.808.966.587,44.465,32.110,25.103,115,7.399.882.917,525.793.584,7.925.676.501,20001
Province du Brabant wallon,412.934,10.270.778.510,43.238,29.702,24.873,114,2.529.723.986,177.921.206,2.707.645.193,20002
Arrondissement de Bruxelles-Capitale,1.241.175,21.266.591.017,32.530,22.790,17.134,79,4.615.780.543,283.470.938,4.899.251.481,21000
Anderlecht,125.065,1.691.574.511,26.481,21.337,13.526,62,276.822.273,15.650.190,292.472.463,21001
Auderghem,35.346,798.283.233,42.739,28.443,22.585,104,212.724.999,12.720.426,225.445.425,21002
Berchem-Sainte-Agathe,25.396,451.854.430,32.997,24.327,17.792,82,92.976.912,6.344.723,99.321.635,21003
Bruxelles,194.291,2.974.146.469,29.704,21.542,15.308,70,601.214.563,36.141.560,637.356.123,21004
Etterbeek,49.558,890.398.968,33.904,23.665,17.967,83,217.407.141,13.838.206,231.245.347,21005
Evere,44.255,704.140.347,31.133,24.158,15.911,73,140.595.603,9.174.704,149.770.306,21006
Forest,57.724,1.015.145.919,31.301,22.909,17.586,81,215.287.701,15.258.880,230.546.582,21007
Ganshoren,25.548,439.654.887,31.069,23.789,17.209,79,84.268.558,5.511.559,89.780.117,21008
Ixelles,88.521,1.811.900.080,36.192,23.015,20.469,94,453.487.680,34.105.168,487.592.848,21009
Jette,53.704,922.397.755,31.547,24.172,17.176,79,185.785.809,11.933.684,197.719.492,21010
Koekelberg,22.563,327.670.492,28.773,22.526,14.522,67,59.775.308,3.666.091,63.441.399,21011
Molenbeek-Saint-Jean,98.270,1.234.544.703,25.895,21.063,12.563,58,193.303.338,12.538.298,205.841.636,21012
Saint-Gilles,49.323,821.766.077,28.468,20.649,16.661,77,169.737.697,10.914.305,180.652.002,21013
Saint-Josse-ten-Noode,27.068,319.845.381,22.954,18.781,11.816,54,50.231.631,3.372.042,53.603.674,21014
Schaerbeek,130.775,1.945.912.465,29.105,21.913,14.880,68,383.682.106,17.967.380,401.649.486,21015
Uccle,86.101,2.076.534.399,43.622,26.467,24.117,111,532.965.010,29.989.174,562.954.185,21016
Watermael-Boitsfort,25.392,593.631.468,40.887,26.474,23.379,107,151.690.202,10.496.200,162.186.402,21017
Woluwe-Saint-Lambert,59.778,1.208.744.131,39.198,27.211,20.221,93,309.461.161,16.730.678,326.191.838,21018
Woluwe-Saint-Pierre,42.497,1.038.445.301,49.629,29.517,24.436,112,284.362.851,17.117.668,301.480.519,21019
Arrondissement de Hal-Vilvorde,664.201,16.193.670.139,43.897,31.674,24.381,112,3.977.510.455,278.792.527,4.256.302.982,23000
Asse,35.191,797.475.283,40.679,29.700,22.661,104,188.257.730,12.914.471,201.172.201,23002
Beersel,26.474,658.469.597,45.534,32.780,24.872,114,164.784.981,11.265.818,176.050.799,23003
Biévène,2.265,54.695.943,42.106,32.079,24.148,111,13.012.416,1.028.792,14.041.208,23009
Dilbeek,44.650,1.108.685.158,43.900,32.113,24.831,114,274.343.357,18.815.145,293.158.501,23016
Gammerages,8.912,224.834.290,44.068,34.017,25.228,116,52.641.515,3.897.032,56.538.547,23023
Gooik,9.428,243.699.910,44.141,33.405,25.849,119,58.474.235,4.226.199,62.700.433,23024
Grimbergen,39.368,976.438.691,44.281,31.774,24.803,114,243.188.402,16.504.202,259.692.604,23025
Hal,42.047,956.396.869,38.908,30.101,22.746,104,218.457.457,15.389.599,233.847.056,23027
Herne,6.763,172.158.090,44.177,34.078,25.456,117,42.057.266,3.289.807,45.347.072,23032
Hoeilaart,11.537,316.047.260,51.432,33.382,27.394,126,85.737.650,5.930.497,91.668.147,23033
Kampenhout,12.445,343.218.590,47.956,34.558,27.579,127,88.515.442,6.126.309,94.641.751,23038
Kapelle-op-den-Bos,9.659,253.660.718,44.261,32.868,26.262,121,61.286.483,4.750.824,66.037.307,23039
Liedekerke,13.877,310.000.563,39.013,30.326,22.339,103,69.069.119,5.334.395,74.403.514,23044
Londerzeel,19.288,494.996.211,43.949,32.900,25.663,118,121.190.233,9.501.949,130.692.182,23045
Machelen,16.486,309.643.821,35.111,28.318,18.782,86,63.134.786,3.147.505,66.282.291,23047
Meise,20.239,556.068.841,48.527,33.981,27.475,126,143.809.317,11.467.260,155.276.576,23050
Merchtem,17.740,447.866.064,43.469,32.036,25.246,116,110.261.256,7.769.709,118.030.965,23052
Opwijk,14.890,374.623.553,44.529,33.534,25.159,116,91.230.058,7.059.307,98.289.365,23060
Overijse,25.978,733.140.450,53.300,33.781,28.222,130,201.304.270,14.595.559,215.899.830,23062
Pepingen,4.567,121.467.208,46.808,33.126,26.597,122,30.505.948,2.265.283,32.771.231,23064
Sint-Pieters-Leeuw,36.052,754.989.445,37.716,29.043,20.942,96,164.251.912,12.109.797,176.361.709,23077
Steenokkerzeel,12.614,321.881.228,45.579,33.463,25.518,117,80.817.380,5.376.714,86.194.094,23081
Ternat,16.488,410.495.004,43.623,33.202,24.897,114,100.153.168,6.837.112,106.990.280,23086
Vilvorde,46.993,940.080.011,37.234,29.017,20.005,92,206.304.963,14.782.907,221.087.870,23088
Zaventem,36.408,805.702.590,41.981,29.919,22.130,102,195.758.282,9.781.804,205.540.086,23094
Zemst,23.357,663.468.716,50.492,36.954,28.406,130,175.033.240,12.148.165,187.181.405,23096
Roosdaal,11.866,307.801.816,45.352,33.633,25.940,119,75.909.013,5.646.468,81.555.481,23097
Drogenbos,5.851,114.081.882,34.279,26.668,19.498,90,24.339.691,1.704.822,26.044.512,23098
Kraainem,14.051,356.459.239,53.968,32.882,25.369,117,100.025.902,7.518.386,107.544.288,23099
Linkebeek,4.640,123.532.966,46.319,30.657,26.623,122,32.328.428,2.447.838,34.776.266,23100
Rhode-Saint-Genèse,18.739,536.112.940,53.638,32.847,28.609,131,143.769.793,8.656.548,152.426.341,23101
Wemmel,17.743,417.391.452,42.687,29.512,23.524,108,103.424.404,7.550.189,110.974.593,23102
Wezembeek-Oppem,14.608,391.819.596,53.114,33.282,26.822,123,106.350.661,7.730.899,114.081.560,23103
Lennik,9.431,253.443.048,46.735,34.298,26.873,123,63.499.978,5.363.167,68.863.144,23104
Affligem,13.556,342.823.092,45.637,34.876,25.289,116,84.281.720,5.858.052,90.139.772,23105
Arrondissement de Louvain,523.282,13.615.296.448,45.161,32.650,26.019,120,3.422.372.462,247.001.057,3.669.373.520,24000
Aarschot,30.854,768.038.579,40.395,31.300,24.893,114,176.689.310,14.010.854,190.700.164,24001
Begijnendijk,10.487,266.819.968,43.612,33.342,25.443,117,63.044.628,4.993.997,68.038.625,24007
Bekkevoort,6.672,163.194.726,40.963,31.161,24.460,112,37.488.755,2.826.092,40.314.847,24008
Bertem,10.276,290.274.907,50.439,35.142,28.248,130,77.557.085,5.758.383,83.315.468,24009
Bierbeek,10.469,305.943.635,52.676,37.719,29.224,134,83.346.677,5.758.258,89.104.935,24011
Boortmeerbeek,13.263,363.713.439,49.150,36.125,27.423,126,95.423.637,5.473.528,100.897.166,24014
Boutersem,8.527,235.848.729,49.694,36.121,27.659,127,61.753.294,4.650.281,66.403.576,24016
Diest,24.677,595.137.121,40.264,31.304,24.117,111,135.811.000,10.674.793,146.485.793,24020
Geetbets,6.263,141.257.577,38.690,30.578,22.554,104,29.737.571,2.375.733,32.113.304,24028
Haacht,15.425,419.023.935,47.455,34.772,27.165,125,104.257.647,6.895.792,111.153.439,24033
Herent,22.723,656.061.376,51.119,36.516,28.872,133,178.273.089,13.663.934,191.937.023,24038
Hoegaarden,6.797,184.252.754,46.435,34.995,27.108,125,46.668.836,3.475.399,50.144.235,24041
Holsbeek,10.158,287.955.090,49.451,35.269,28.348,130,75.014.401,5.200.651,80.215.052,24043
Huldenberg,10.080,277.975.121,48.810,34.020,27.577,127,74.089.699,5.877.451,79.967.149,24045
Keerbergen,13.196,422.979.845,54.918,35.955,32.054,147,114.723.608,7.532.519,122.256.128,24048
Kortenaken,7.970,191.806.509,41.916,32.432,24.066,111,42.777.038,3.298.886,46.075.924,24054
Kortenberg,20.920,563.744.459,48.540,33.946,26.948,124,150.356.592,11.800.951,162.157.543,24055
Landen,16.284,391.683.257,41.549,32.527,24.053,110,89.287.836,7.003.994,96.291.830,24059
Louvain,103.009,2.552.202.286,43.012,30.408,24.776,114,668.964.005,44.675.584,713.639.589,24062
Lubbeek,14.911,426.199.949,50.956,36.800,28.583,131,112.196.587,8.350.785,120.547.372,24066
Oud-Heverlee,11.545,360.578.599,58.045,39.274,31.232,143,100.868.267,6.546.069,107.414.336,24086
Rotselaar,17.499,485.120.991,49.196,35.968,27.723,127,125.900.189,8.120.373,134.020.562,24094
Tervuren,23.101,649.455.720,56.494,34.270,28.114,129,183.521.650,12.405.209,195.926.859,24104
Tirlemont,36.282,828.860.681,38.387,29.289,22.845,105,184.032.760,13.947.013,197.979.773,24107
Tremelo,15.338,408.044.116,44.199,32.140,26.603,122,99.516.128,6.891.721,106.407.849,24109
Léau,8.668,206.161.547,39.570,30.517,23.784,109,45.303.213,3.732.359,49.035.572,24130
Linter,7.317,179.757.413,41.238,33.103,24.567,113,41.002.644,3.244.900,44.247.545,24133
Montaigu-Zichem,23.705,564.705.316,39.615,31.519,23.822,109,122.630.468,9.742.664,132.373.132,24134
Tielt-Winge,11.440,287.116.418,43.039,32.394,25.098,115,67.993.585,5.328.966,73.322.552,24135
Glabbeek,5.426,141.382.384,44.572,34.404,26.056,120,34.142.261,2.743.920,36.886.180,24137
Arrondissement de Nivelles,412.934,10.270.778.510,43.238,29.702,24.873,114,2.529.723.986,177.921.206,2.707.645.193,25000
Beauvechain,7.232,187.784.108,46.620,32.439,25.966,119,46.340.234,3.267.257,49.607.491,25005
Braine-l’Alleud,40.469,1.027.108.060,43.475,30.512,25.380,117,255.271.982,14.481.161,269.753.143,25014
Braine-le-Château,10.671,268.890.167,43.559,30.937,25.198,116,65.982.521,5.263.505,71.246.026,25015
Chaumont-Gistoux,11.813,342.360.800,50.803,31.837,28.982,133,91.369.483,7.323.138,98.692.622,25018
Court-Saint-Etienne,10.750,254.325.016,41.989,30.088,23.658,109,62.838.186,4.981.273,67.819.460,25023
Genappe,15.915,400.897.399,44.783,31.074,25.190,116,98.035.028,7.330.592,105.365.621,25031
Grez-Doiceau,14.067,376.165.156,46.950,31.019,26.741,123,94.258.437,6.461.329,100.719.766,25037
Incourt,5.614,138.072.660,44.113,31.848,24.594,113,33.788.669,2.350.969,36.139.638,25043
Ittre,7.039,175.836.625,42.679,30.488,24.980,115,42.208.274,3.320.888,45.529.162,25044
Jodoigne,14.789,342.393.539,39.574,28.112,23.152,106,80.020.814,6.393.231,86.414.044,25048
La Hulpe,7.564,203.995.667,47.463,29.267,26.969,124,51.330.162,3.204.140,54.534.303,25050
Mont-Saint-Guibert,8.361,212.117.139,43.035,30.495,25.370,117,53.905.318,4.040.108,57.945.425,25068
Nivelles,29.018,711.628.662,39.782,28.900,24.524,113,169.577.563,11.834.975,181.412.538,25072
Perwez,9.639,232.966.144,40.979,29.651,24.169,111,56.092.163,4.194.099,60.286.262,25084
Rixensart,23.115,619.449.659,46.843,29.985,26.799,123,161.221.241,10.609.832,171.831.072,25091
Tubize,28.057,552.824.695,34.640,27.225,19.704,91,109.286.568,8.742.829,118.029.397,25105
Villers-la-Ville,11.118,276.633.331,44.726,32.560,24.882,114,68.930.226,5.465.506,74.395.731,25107
Waterloo,30.477,841.625.722,49.868,31.144,27.615,127,228.156.887,13.078.203,241.235.090,25110
Wavre,35.444,861.609.349,41.008,28.507,24.309,112,207.676.390,14.110.784,221.787.174,25112
Chastre,7.742,195.698.543,46.385,32.405,25.278,116,49.252.410,3.914.231,53.166.641,25117
Hélécine,3.789,85.646.357,39.891,30.378,22.604,104,19.519.113,1.708.323,21.227.437,25118
Lasne,14.313,435.062.083,54.821,32.122,30.396,140,117.835.664,6.865.760,124.701.425,25119
Orp-Jauche,9.097,213.911.705,41.050,30.354,23.515,108,49.834.326,3.958.212,53.792.538,25120
Ottignies-Louvain-la-Neuve,31.526,721.215.747,39.460,27.217,22.877,105,178.016.871,13.628.288,191.645.159,25121
Ramillies,6.667,155.515.819,41.828,30.604,23.326,107,36.048.618,2.681.445,38.730.063,25122
Rebecq,11.081,241.057.608,38.342,28.727,21.754,100,52.352.688,4.433.217,56.785.905,25123
Walhain,7.567,195.986.752,46.630,32.526,25.900,119,50.574.150,4.277.909,54.852.059,25124
Province de Flandre occidentale,1.220.026,27.811.507.618,37.809,29.167,22.796,105,5.880.415.006,396.628.007,6.277.043.013,30000
Arrondissement de Bruges,285.637,7.101.795.601,40.269,29.871,24.863,114,1.606.875.042,97.174.882,1.704.049.924,31000
Beernem,16.131,380.320.876,40.038,31.641,23.577,108,84.759.785,6.543.860,91.303.645,31003
Blankenberge,20.511,456.624.778,33.019,25.711,22.262,102,85.531.598,5.140.588,90.672.186,31004
Bruges,119.541,2.870.501.533,38.379,29.506,24.013,110,646.334.943,44.509.830,690.844.774,31005
Damme,11.146,269.877.072,40.996,31.562,24.213,111,59.349.732,4.757.679,64.107.411,31006
Jabbeke,14.539,373.621.342,43.617,33.476,25.698,118,87.760.018,6.743.714,94.503.732,31012
Oostkamp,24.200,588.923.793,42.060,32.910,24.336,112,135.250.803,10.698.207,145.949.011,31022
Torhout,20.782,465.698.342,37.923,30.015,22.409,103,97.917.933,7.769.296,105.687.228,31033
Zedelgem,23.391,561.801.431,41.860,32.732,24.018,110,124.989.862,9.949.830,134.939.692,31040
Zuienkerke,2.751,68.746.825,41.970,32.588,24.990,115,15.605.887,1.061.878,16.667.765,31042
Knokke-Heist,32.645,1.065.679.609,49.006,28.601,32.644,150,269.374.481,0,269.374.481,31043
Arrondissement de Dixmude,52.486,1.097.917.466,35.692,28.912,20.918,96,212.984.792,16.589.025,229.573.818,32000
Dixmude,17.174,362.309.111,35.138,28.143,21.096,97,70.937.438,5.658.108,76.595.547,32003
Houthulst,10.332,210.133.967,34.993,28.591,20.338,93,40.066.811,2.979.005,43.045.816,32006
Koekelare,8.870,190.133.372,36.620,29.558,21.436,98,36.906.303,2.566.216,39.472.519,32010
Kortemark,12.873,269.216.638,36.386,30.028,20.913,96,52.504.377,4.416.094,56.920.471,32011
Lo-Reninge,3.237,66.124.378,35.666,27.677,20.428,94,12.569.863,969.602,13.539.464,32030
Arrondissement d’Ypres,107.840,2.266.782.907,35.638,28.276,21.020,97,442.267.705,35.254.615,477.522.320,33000
Ypres,35.387,769.276.458,36.057,28.243,21.739,100,154.568.012,12.307.432,166.875.444,33011
Messines,1.074,17.999.023,29.899,25.762,16.759,77,2.721.614,261.348,2.982.962,33016
Poperinge,19.947,411.097.637,34.695,27.485,20.609,95,76.826.663,6.158.490,82.985.153,33021
Wervik,19.190,388.084.730,34.947,28.101,20.223,93,74.107.186,5.944.389,80.051.575,33029
Zonnebeke,12.658,272.320.390,37.136,30.231,21.514,99,55.789.025,4.427.036,60.216.061,33037
Heuvelland,7.958,162.963.199,34.453,27.709,20.478,94,29.843.094,2.435.356,32.278.450,33039
Langemark-Poelkapelle,8.015,173.895.675,37.713,29.254,21.696,100,35.033.748,2.782.942,37.816.690,33040
Vleteren,3.611,71.145.794,34.858,28.077,19.703,90,13.378.362,937.622,14.315.984,33041
Arrondissement de Courtrai,299.735,6.663.983.127,37.981,29.691,22.233,102,1.411.990.760,106.024.912,1.518.015.672,34000
Anzegem,15.222,359.412.736,40.945,32.600,23.611,108,80.452.556,6.391.713,86.844.269,34002
Avelgem,10.319,227.015.027,37.258,29.853,22.000,101,46.412.671,3.225.095,49.637.767,34003
Deerlijk,12.561,291.148.940,40.125,31.769,23.179,106,63.281.995,5.020.812,68.302.807,34009
Harelbeke,29.574,653.547.764,37.874,30.547,22.099,102,134.925.672,10.041.628,144.967.300,34013
Courtrai,78.944,1.763.025.169,37.694,28.248,22.333,103,383.629.161,30.310.371,413.939.532,34022
Kuurne,14.033,304.061.380,37.946,29.974,21.668,100,62.059.353,4.869.300,66.928.653,34023
Lendelede,5.863,132.556.331,38.556,31.154,22.609,104,27.336.605,2.173.363,29.509.968,34025
Menin,34.322,678.045.277,33.568,26.819,19.755,91,125.992.057,10.118.413,136.110.470,34027
Waregem,39.488,908.094.370,38.756,30.343,22.997,106,198.664.438,13.427.128,212.091.566,34040
Wevelgem,31.795,711.550.191,38.936,31.433,22.379,103,150.233.645,10.139.912,160.373.557,34041
Zwevegem,25.558,591.197.813,40.149,31.584,23.132,106,129.693.720,9.652.115,139.345.835,34042
Espierres-Helchin,2.056,44.328.129,36.394,27.274,21.560,99,9.308.887,655.061,9.963.948,34043
Arrondissement d’Ostende,159.324,3.575.726.581,35.416,27.641,22.443,103,728.091.509,45.134.097,773.225.606,35000
Bredene,18.081,415.645.619,37.625,30.047,22.988,106,87.935.497,6.102.460,94.037.957,35002
Gistel,12.265,276.720.114,38.116,30.301,22.562,104,59.465.063,4.243.858,63.708.921,35005
Ichtegem,14.355,310.883.726,37.281,30.262,21.657,99,62.161.554,4.744.827,66.906.381,35006
Middelkerke,19.755,460.095.307,34.983,27.293,23.290,107,89.374.654,2.673.286,92.047.940,35011
Ostende,72.175,1.561.884.144,33.257,25.991,21.640,99,311.008.809,20.222.823,331.231.632,35013
Oudenburg,9.911,223.618.601,38.297,30.899,22.563,104,46.923.458,3.585.883,50.509.340,35014
De Haan,12.782,326.879.071,39.082,28.812,25.573,117,71.222.475,3.560.960,74.783.434,35029
Arrondissement de Roulers,158.103,3.439.091.044,37.104,29.327,21.752,100,710.364.936,56.439.834,766.804.770,36000
Hooglede,10.142,227.977.079,39.051,30.713,22.479,103,49.003.794,3.882.567,52.886.361,36006
Ingelmunster,11.454,250.257.260,37.158,30.218,21.849,100,51.173.617,4.053.555,55.227.172,36007
Izegem,29.013,634.563.954,36.788,29.379,21.872,100,130.066.265,9.034.887,139.101.153,36008
Ledegem,9.770,208.127.672,37.206,30.170,21.303,98,41.487.272,3.089.392,44.576.665,36010
Lichtervelde,9.166,207.171.047,38.774,31.320,22.602,104,43.640.431,3.246.081,46.886.512,36011
Moorslede,11.451,247.207.635,37.484,29.887,21.588,99,48.892.328,3.881.240,52.773.568,36012
Roulers,65.468,1.423.227.653,36.817,28.720,21.739,100,298.210.824,25.450.247,323.661.071,36015
Staden,11.639,240.558.744,36.023,28.789,20.668,95,47.890.404,3.801.864,51.692.268,36019
Arrondissement de Tielt,95.182,2.105.854.160,37.743,29.944,22.125,102,437.387.520,31.850.097,469.237.617,37000
Dentergem,8.632,193.960.505,38.846,30.347,22.470,103,40.820.356,3.025.442,43.845.798,37002
Meulebeke,11.100,241.217.322,36.322,29.176,21.731,100,46.996.624,3.509.126,50.505.750,37007
Oostrozebeke,8.021,174.565.917,36.953,29.880,21.764,100,35.409.853,2.634.636,38.044.489,37010
Pittem,6.834,147.175.575,36.905,30.145,21.536,99,30.230.962,2.253.011,32.483.973,37011
Ruiselede,5.504,124.468.406,38.860,30.912,22.614,104,26.363.738,1.698.209,28.061.947,37012
Tielt,20.701,462.610.243,37.571,29.506,22.347,103,98.117.510,7.299.352,105.416.862,37015
Wielsbeke,10.013,217.421.354,38.461,30.301,21.714,100,45.464.553,3.372.550,48.837.103,37017
Wingene,15.039,337.845.313,38.413,30.459,22.465,103,71.958.184,5.548.548,77.506.733,37018
Ardooie,9.338,206.589.526,37.664,29.930,22.124,102,42.025.741,2.509.222,44.534.963,37020
