,id,Locality,Type of property,Subtype of property,Type of sale,Fully equipped kitchen,Fireplace,Terrace,Garden,Garden area,Surface of the land,Surface area of the plot of land,Swimming pool,State of the building,Compound Listing,Price,Number of rooms,Living Area,Furnished,Terrace area,Number of facades
9999,20233552,1000,HOUSE,VILLA,residential_sale,1,0,1,1,300.0,300.0,734.0,0,TO_BE_DONE_UP,single,895000.0,5.0,350.0,0.0,40.0,4.0
10000,20312593,4400,HOUSE,HOUSE,residential_sale,0,0,1,1,198.0,198.0,268.0,0,TO_RENOVATE,single,40000.0,3.0,101.0,0.0,38.0,3.0
10001,20029561,4400,HOUSE,HOUSE,residential_sale,1,0,1,1,82.0,82.0,198.0,0,JUST_RENOVATED,single,120000.0,1.0,45.0,0.0,13.052246583161708,3.0
10002,20052313,9100,HOUSE,HOUSE,residential_sale,1,0,0,1,181.0,181.0,311.0,0,TO_RENOVATE,single,215000.0,3.0,147.0,0.0,0.0,2.0
10003,11303771,6997,HOUSE,HOUSE,residential_sale,1,0,1,1,609.0,609.0,780.0,0,GOOD,single,275000.0,7.0,241.0,0.0,121.0,3.0
10004,20201170,2940,HOUSE,HOUSE,residential_sale,1,0,1,1,618.0,618.0,618.0,0,TO_RENOVATE,single,299000.0,3.0,170.0,0.0,7.0,3.0
10005,11280757,1070,HOUSE,HOUSE,residential_sale,1,1,1,1,60.0,60.0,97.0,0,JUST_RENOVATED,single,459000.0,3.0,178.0,0.0,12.0,2.0
10006,20011755,4671,HOUSE,VILLA,residential_sale,1,0,1,1,4800.0,4800.0,4800.0,1,GOOD,single,775000.0,5.0,329.0,0.0,80.0,4.0
10007,20280725,4570,HOUSE,HOUSE,residential_sale,1,0,1,1,3100.0,3100.0,3155.0,0,TO_RENOVATE,single,79000.0,2.0,90.0,0.0,30.0,2.0
10008,20309638,6010,HOUSE,EXCEPTIONAL_PROPERTY,residential_sale,1,0,1,1,215.0,215.0,450.0,1,AS_NEW,single,449000.0,4.0,397.0,0.0,1.0603583654851192,2.0
10009,20193851,9820,HOUSE,HOUSE,residential_sale,1,0,1,1,762.0,762.0,807.0,0,GOOD,single,448000.0,3.0,138.0,0.0,50.0,3.0
10010,20300223,9052,HOUSE,APARTMENT_BLOCK,residential_sale,0,0,0,0,0.0,0.0,672.0,0,UNKNOWN,single,660000.0,0.0,301.0,0.0,0.0,3.0
10011,20284466,8500,HOUSE,HOUSE,residential_sale,1,0,0,0,0.0,0.0,623.0,0,GOOD,single,375000.0,3.0,217.0,0.0,0.0,3.0
10012,20288168,9000,HOUSE,HOUSE,residential_sale,1,0,0,0,0.0,0.0,50.0,0,TO_BE_DONE_UP,single,255000.0,4.0,148.0,0.0,0.0,2.0
10013,20213995,4550,HOUSE,HOUSE,residential_sale,1,1,1,1,1800.0,1800.0,2171.0,0,AS_NEW,single,549000.0,4.0,300.0,0.0,15.0,4.0
10014,20189725,4651,HOUSE,EXCEPTIONAL_PROPERTY,residential_sale,1,1,1,1,6333.0,6333.0,7737.0,1,GOOD,single,899000.0,7.0,389.0,0.0,5.89181696862211,4.0
10015,20296117,1730,HOUSE,HOUSE,residential_sale,1,0,1,1,150.0,150.0,200.0,0,GOOD,single,310000.0,3.0,187.0,0.0,20.0,2.0
10016,20178083,4100,HOUSE,HOUSE,residential_sale,1,0,0,1,175.0,175.0,250.0,0,TO_BE_DONE_UP,single,149900.0,4.0,125.0,0.0,0.0,3.0
10017,20020030,4032,HOUSE,HOUSE,residential_sale,1,0,1,1,14.0,14.0,110.0,0,TO_BE_DONE_UP,single,210000.0,4.0,171.0,0.0,17.0,3.0
10018,20163924,4000,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,150.0,0,AS_NEW,single,319000.0,3.0,120.0,0.0,120.0,2.0
