Code INS,Entités administratives,Langue,Région,Province,Arrondissement,Codes postaux,,,,,,,,,,,,,,,
23025,Grimbergen,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1850,1851,1852,1853,,,,,,,,,,,,
23027,Hal,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1500,1501,1502,,,,,,,,,,,,,
23032,Herne,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1540,1541,,,,,,,,,,,,,,
23033,Hoeilaart,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1560,,,,,,,,,,,,,,,
23038,Kampenhout,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1910,,,,,,,,,,,,,,,
23039,Kapelle-op-den-Bos,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1880,,,,,,,,,,,,,,,
23044,Liedekerke,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1770,,,,,,,,,,,,,,,
23045,Londerzeel,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1840,,,,,,,,,,,,,,,
23047,Machelen,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1830,1831,,,,,,,,,,,,,,
23050,Meise,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1860,1861,,,,,,,,,,,,,,
23052,Merchtem,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1785,,,,,,,,,,,,,,,
23060,Opwijk,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1745,,,,,,,,,,,,,,,
23062,Overijse,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,3090,,,,,,,,,,,,,,,
23064,Pepingen,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1670,1673,1674,,,,,,,,,,,,,
23077,Sint-Pieters-Leeuw,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1600,1601,1602,,,,,,,,,,,,,
23081,Steenokkerzeel,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1820,,,,,,,,,,,,,,,
23086,Ternat,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1740,1741,1742,,,,,,,,,,,,,
23088,Vilvorde,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1800,,,,,,,,,,,,,,,
23094,Zaventem,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1930,1932,1933,,,,,,,,,,,,,
23096,Zemst,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1980,1981,1982,,,,,,,,,,,,,
23097,Roosdaal,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1760,1761,,,,,,,,,,,,,,
23098,Drogenbos,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1620,,,,,,,,,,,,,,,
23099,Kraainem,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1950,,,,,,,,,,,,,,,
23100,Linkebeek,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1630,,,,,,,,,,,,,,,
23101,Rhode-Saint-Genèse,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1640,,,,,,,,,,,,,,,
23102,Wemmel,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1780,,,,,,,,,,,,,,,
23103,Wezembeek-Oppem,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1970,,,,,,,,,,,,,,,
23104,Lennik,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1750,,,,,,,,,,,,,,,
23105,Affligem,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1790,,,,,,,,,,,,,,,
24001,Aarschot,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3200,3201,3202,,,,,,,,,,,,,
24007,Begijnendijk,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3130,,,,,,,,,,,,,,,
24008,Bekkevoort,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3460,3461,,,,,,,,,,,,,,
24009,Bertem,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3060,3061,,,,,,,,,,,,,,
24011,Bierbeek,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3360,,,,,,,,,,,,,,,
24014,Boortmeerbeek,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3190,3191,,,,,,,,,,,,,,
24016,Boutersem,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3370,,,,,,,,,,,,,,,
24020,Diest,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3290,3293,3294,,,,,,,,,,,,,
24028,Geetbets,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3450,3454,,,,,,,,,,,,,,
24033,Haacht,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3150,,,,,,,,,,,,,,,
24038,Herent,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3020,,,,,,,,,,,,,,,
24041,Hoegaarden,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3320,3321,,,,,,,,,,,,,,
24043,Holsbeek,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3220,3221,,,,,,,,,,,,,,
24045,Huldenberg,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3040,,,,,,,,,,,,,,,
24048,Keerbergen,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3140,,,,,,,,,,,,,,,
24054,Kortenaken,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3470,3471,3472,3473,,,,,,,,,,,,
24055,Kortenberg,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3070,3071,3078,,,,,,,,,,,,,
24059,Landen,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3400,3401,3404,,,,,,,,,,,,,
24062,Louvain,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3000,3001,3010,3012,,,,,,,,,,,,
24066,Lubbeek,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3210,3211,3212,,,,,,,,,,,,,
24086,Oud-Heverlee,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3050,3051,3052,3053,,,,,,,,,,,,
24094,Rotselaar,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3110,3111,3118,,,,,,,,,,,,,
24104,Tervuren,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3080,,,,,,,,,,,,,,,
24107,Tirlemont,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3300,,,,,,,,,,,,,,,
24109,Tremelo,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3120,3128,,,,,,,,,,,,,,
24130,Léau,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3440,,,,,,,,,,,,,,,
24133,Linter,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3350,,,,,,,,,,,,,,,
24134,Montaigu-Zichem,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3270,3271,3272,,,,,,,,,,,,,
24135,Tielt-Winge,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3390,3391,,,,,,,,,,,,,,
24137,Glabbeek,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Louvain,3380,3381,3384,,,,,,,,,,,,,
25005,Beauvechain,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1320,,,,,,,,,,,,,,,
25014,Braine-l'Alleud,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1420,1421,1428,,,,,,,,,,,,,
25015,Braine-le-Château,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1440,,,,,,,,,,,,,,,
25018,Chaumont-Gistoux,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1325,,,,,,,,,,,,,,,
25023,Court-Saint-Etienne,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1490,,,,,,,,,,,,,,,
25031,Genappe,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1470,1471,1472,1473,,,,,,,,,,,,
25037,Grez-Doiceau,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1390,,,,,,,,,,,,,,,
25043,Incourt,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1315,,,,,,,,,,,,,,,
25044,Ittre,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1460,1461,,,,,,,,,,,,,,
25048,Jodoigne,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1370,,,,,,,,,,,,,,,
25050,La Hulpe,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1310,,,,,,,,,,,,,,,
25068,Mont-Saint-Guibert,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1435,,,,,,,,,,,,,,,
25072,Nivelles,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1400,1401,1402,1404,,,,,,,,,,,,
25084,Perwez,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1360,,,,,,,,,,,,,,,
25091,Rixensart,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1330,,,,,,,,,,,,,,,
25105,Tubize,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1480,,,,,,,,,,,,,,,
25107,Villers-la-Ville,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1495,,,,,,,,,,,,,,,
25110,Waterloo,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1410,,,,,,,,,,,,,,,
25112,Wavre,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1300,1301,,,,,,,,,,,,,,
25117,Chastre,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1450,,,,,,,,,,,,,,,
25118,Hélécine,F,RÉGION WALLONNE,Province du Brabant Wallon,Arrondissement de Nivelles,1357,,,,,,,,,,,,,,,
